regionCode,villageCode,villageName
1,101,Atemkit
1,102,Bultem
1,103,Finalbin
1,104,Kavorabip
1,105,Migalsimbip
1,106,Wangbin
2,201,Ankit
2,202,Boliwogam
2,203,Boungkim
2,204,Bumbin
2,205,Derongo
2,206,Digam
2,207,Haidawogam
2,208,Kaventikin
2,209,Kolebon
2,210,Korkit
2,211,Kumguit
2,212,Ningerum Tamaro
2,213,Nioksikwi
2,214,Ok Teditau
2,215,Walawam
2,216,Wogam
2,217,Wombon
2,218,Wurimkanatgo
3,301,Ambaga
3,302,Atkamba
3,303,Bige
3,304,Birimkamba
3,305,Bongabun
3,306,Demasuke
3,307,Dome
3,308,Ieran
3,309,Iogi
3,310,Kawok
3,311,Komokpin
3,312,Konkonda
3,313,Kungembit
3,314,Kungim
3,315,Kwiape
3,316,Miamrae
3,317,Putmambin
3,318,Sarae
3,319,Senamrae
3,320,Solnae
4,401,Awin Tamaro
4,402,Briompenai
4,403,Dande 1
4,404,Dande 2
4,405,Gii
4,406,Gre
4,407,Grehsore
4,408,Grengas
4,409,Hiorinkia
4,410,Hoponai
4,411,Hosokumgu
4,412,Hosonae
4,413,Ienkenai
4,414,Ipoknai
4,415,Kasrenai
4,416,Kwiloknai
4,417,Matkomnai
4,418,Menumsore
4,419,Miamsomnai
4,420,Mimigire
4,421,Pampenai
4,422,Rarengre
4,423,Rudmesuke
4,424,Sisimakam
4,425,Tapko
4,426,Timindemesuke
4,427,Tiomnai
4,428,Tope
4,429,Wangenai
5,501,Aiambak
5,502,Bosset
5,503,Erecta
5,504,Karemgo
5,505,Kasa
5,506,Kaviananga
5,507,Komovai
5,508,Kuem
5,509,Kukujaba
5,510,Levame
5,511,Manda
5,512,Membok
5,513,Mepu
5,514,Mipan
5,515,Moian
5,516,Owa
5,517,Wangawanga
5,518,Yulawas
6,601,Aewe
6,602,Baidowa
6,603,Dede Wasua
6,604,Dewara
6,605,Eniyawa Duru
6,606,Gwaku
6,607,Kautru
6,608,Kiru
6,609,Lewada
6,610,Pukaduka #1
6,611,Pukaduka #2
6,612,Riti
6,613,Sapuka
6,614,Serki
6,615,Sialowa
6,616,Suame
7,701,Arato
7,702,Aberegerema
7,703,Damera
7,704,Doumori
7,705,Kabaturi
7,706,Kawiapo
7,707,Kea
7,708,Kename
7,709,Kenedibi
7,710,Maduduwo
7,711,Maipani
7,712,Pagona #1
7,713,Pagona #2
7,714,Pedaya #1
7,715,Pedaya #2
7,716,Sagero
7,717,Tire'ere
7,718,Urio
7,719,Waliyama
7,720,Wariobodoro
8,801,Agobaro
8,802,Aibinio
8,803,Buria
8,804,Gesowa
8,805,Iasa
8,806,Ipisia
8,807,Isumo
8,808,Kubira
8,809,Oromosapua
8,810,Sagapari
8,811,Saguane
8,812,Samari
8,813,Wapaura
8,814,Wapi
8,815,Sepe Auti
8,816,U'Uwo
9,901,Aduru
9,902,Baramura
9,903,Daware
9,904,Kadawa
9,905,Katatai
9,906,Koabu
9,907,Madame
9,908,Madiri (Tirio 1)
9,909,Mutam
9,910,Parama
9,911,Severemabu
9,912,Sui
9,913,Tapila
9,914,Tirio 2
9,915,Wederehiamo
